Disease,Median,Mean,Stdev,Fraction_Early,Period,Score_Imp,Patient_Count,True_pos,True_neg,Strict,Spec,Method
hereditary_hemorrhagic_telangiectasia,-5014.0,-5014.0,7088.038374613952,0.1,Pre_Lab,0.0196950249373912,1237,825,412,True,0.95,xgb
noonan_syndrome,-2591.0,-2595.3846153846152,1868.070017355771,0.8666666666666667,Pre_diag,0.0782678127288818,642,230,412,True,0.95,xgb
noonan_syndrome,-1531.0,-1821.7777777777776,1746.2813188156265,0.6,Pre_Mention,0.0782678127288818,642,230,412,True,0.95,xgb
noonan_syndrome,-279.5,-875.5,1390.4480093360796,0.2666666666666666,Pre_Lab,0.0782678127288818,642,230,412,True,0.95,xgb
charcot-marie-tooth_disease,-1679.0,-1882.48,1597.6782404476817,0.4310344827586206,Pre_diag,0.1776456832885742,1907,1495,412,True,0.95,xgb
charcot-marie-tooth_disease,-593.5,-1194.5,1408.7005004613295,0.1034482758620689,Pre_Mention,0.1776456832885742,1907,1495,412,True,0.95,xgb
charcot-marie-tooth_disease,-788.0,-1015.8,904.6774010662584,0.0862068965517241,Pre_Lab,0.1776456832885742,1907,1495,412,True,0.95,xgb
wilson_disease,-708.5,-1227.5,1332.9667185369906,0.3243243243243243,Pre_diag,0.1148411259055137,1150,738,412,True,0.95,xgb
wilson_disease,-471.0,-1119.2727272727273,1310.640918856808,0.2972972972972973,Pre_Mention,0.1148411259055137,1150,738,412,True,0.95,xgb
wilson_disease,-481.0,-1001.0,1352.030430764887,0.2162162162162162,Pre_Lab,0.1148411259055137,1150,738,412,True,0.95,xgb
neurofibromatosis_type_1,-2521.0,-3204.842105263158,2557.8366332667147,0.8769230769230769,Pre_diag,0.0,1756,1344,412,True,0.95,xgb
neurofibromatosis_type_1,-1110.0,-1926.3673469387757,2016.1970874838184,0.7538461538461538,Pre_Mention,0.0,1756,1344,412,True,0.95,xgb
neurofibromatosis_type_1,-4132.0,-4258.0,2836.4926307756286,0.1538461538461538,Pre_Lab,0.0,1756,1344,412,True,0.95,xgb
fabry_disease,-1921.5,-2534.555555555556,2503.1802412653865,1.0,Pre_diag,0.0063219824805855,801,389,412,True,0.95,xgb
fabry_disease,-1408.0,-2294.1875,2632.460147688216,0.8888888888888888,Pre_Mention,0.0063219824805855,801,389,412,True,0.95,xgb
fabry_disease,-1215.5,-1601.8333333333333,1456.961552913002,0.3333333333333333,Pre_Lab,0.0063219824805855,801,389,412,True,0.95,xgb
hereditary_angioedema_type_1_2,-2610.5,-2908.375,2522.954825200008,0.9411764705882352,Pre_diag,0.024830313399434,1169,757,412,True,0.95,xgb
hereditary_angioedema_type_1_2,-2755.0,-3092.266666666667,2401.7765587363115,0.8823529411764706,Pre_Mention,0.024830313399434,1169,757,412,True,0.95,xgb
hereditary_angioedema_type_1_2,-1390.0,-1733.2,1607.182690300017,0.2941176470588235,Pre_Lab,0.024830313399434,1169,757,412,True,0.95,xgb
hereditary_hemorrhagic_telangiectasia,-172.0,-554.1023255813953,713.109852952365,0.2529411764705882,Pre_diag,,850,850,500,False,0.95,phers
noonan_syndrome,-598.0,-738.7666666666667,613.4241313901431,0.2542372881355932,Pre_diag,,236,236,500,False,0.95,phers
charcot-marie-tooth_disease,-246.5,-522.8394495412844,605.5631243785151,0.1431385423506237,Pre_diag,,1523,1523,500,False,0.95,phers
wilson_disease,-499.0,-739.643216080402,745.9643601458359,0.2653333333333333,Pre_diag,,750,750,500,False,0.95,phers
fabry_disease,-494.0,-727.6811594202899,695.1793355749296,0.1691176470588235,Pre_diag,,408,408,500,False,0.95,phers
capillary_malformation-arteriovenous_malformation,-558.5,-851.75,774.5866639698879,0.0032232070910556,Pre_diag,,2482,2482,500,False,0.95,phers
hereditary_angioedema_type_1_2,-416.0,-699.8026315789474,787.6742646506756,0.0989583333333333,Pre_diag,,768,768,500,False,0.95,phers
hereditary_hemorrhagic_telangiectasia,-19.0,-558.6666666666666,948.620226082774,0.15,Pre_diag,,20,20,500,True,0.95,phers
noonan_syndrome,-618.0,-869.75,807.5033392235247,0.5333333333333333,Pre_diag,,15,15,500,True,0.95,phers
charcot-marie-tooth_disease,-64.0,-406.57142857142856,687.1311997823165,0.1206896551724138,Pre_diag,,58,58,500,True,0.95,phers
wilson_disease,-98.5,-554.3333333333334,821.6450977561216,0.1621621621621621,Pre_diag,,37,37,500,True,0.95,phers
fabry_disease,-716.0,-835.0,651.9555199551577,0.4444444444444444,Pre_diag,,18,18,500,True,0.95,phers
hereditary_angioedema_type_1_2,-207.0,-413.6666666666667,532.0097116908049,0.1764705882352941,Pre_diag,,17,17,500,True,0.95,phers
